BioProject,Food subgroup,Country,Number of runs
PRJEB21603,Fermented beverage,Belgium,4
PRJNA1052643,Alcoholic Beverage,Nigeria,12
PRJNA1052643,Fermented legumes,Ghana,1
PRJNA1052643,Fermented legumes,Nigeria,11
PRJNA1052643,Fermented legumes,Burkina Faso,1
PRJNA1052643,Alcoholic Beverage,Ghana,3
PRJEB34001,Fermented meat,Switzerland,12
PRJNA997801,Cheese,Spain,73
PRJNA1094419,Cheese,Italy,49
PRJNA997801,Cheese,Spain,96
PRJNA1094419,Cheese,Ireland,15
PRJNA1094419,Cheese,Spain,4
PRJNA1094419,Cheese,Italy,79
PRJNA997801,Cheese,Spain,143
PRJNA997801,Cheese,Austria,205
PRJNA997801,Cheese,Italy,104
PRJNA1052643,Dairy product,Ghana,2
PRJNA1052643,Dairy product,Nigeria,8
PRJNA1052643,Alcoholic beverage,Nigeria,4
PRJNA1052643,Fermented cereal,Burkina Faso,2
PRJNA1052643,Fermented cereal,Kenya,4
PRJNA1052643,Fermented cereal,Ghana,2
PRJNA1052643,Fermented cereal,Nigeria,19
PRJEB65292,Dairy product,Åland Islands,4
PRJEB65292,Dairy product,Australia,8
PRJEB65292,Dairy product,Belgium,4
PRJEB65292,Dairy product,Bulgaria,8
PRJEB65292,Dairy product,Canada,4
PRJEB65292,Dairy product,China,32
PRJEB65292,Dairy product,Croatia,4
PRJEB65292,Dairy product,Denmark,4
PRJEB65292,Dairy product,France,8
PRJEB65292,Dairy product,Germany,24
PRJEB65292,Dairy product,Greece,13
PRJEB65292,Dairy product,India,8
PRJEB65292,Dairy product,Ireland,57
PRJEB65292,Dairy product,Israel,4
PRJEB65292,Dairy product,Italy,4
PRJEB65292,Dairy product,New Zealand,4
PRJEB65292,Dairy product,Tunisia,4
PRJEB65292,Dairy product,Portugal,4
PRJEB65292,Dairy product,Singapore,4
PRJEB65292,Dairy product,Russian Federation,4
PRJEB65292,Dairy product,Sweden,4
PRJEB65292,Dairy product,Spain,4
PRJEB65292,Dairy product,South Africa,4
PRJEB65292,Dairy product,United Kingdom of Great Britain and Northern Ireland,44
PRJEB65292,Dairy product,United States of America,4
PRJNA1052643,Fermented roots,Burkina Faso,1
PRJNA1052643,Fermented roots,Nigeria,18
PRJNA1052643,Fermented roots,Ghana,1
PRJNA1094419,Fermented meat,Italy,50
PRJNA1094419,Fermented meat,Italy,16
PRJNA977472,Fermented beverage,Australia,10
PRJNA977472,Fermented beverage,Austria,25
PRJNA977472,Fermented beverage,Belgium,5
PRJNA977472,Fermented beverage,Canada,15
PRJNA977472,Fermented beverage,"China, Hong Kong Special Administrative Region",5
PRJNA977472,Fermented beverage,Colombia,5
PRJNA977472,Fermented beverage,Denmark,5
PRJNA977472,Fermented beverage,Estonia,5
PRJNA977472,Fermented beverage,France,50
PRJNA977472,Fermented beverage,Germany,50
PRJNA977472,Fermented beverage,Indonesia,5
PRJNA977472,Fermented beverage,Ireland,20
PRJNA977472,Fermented beverage,Italy,20
PRJNA977472,Fermented beverage,Malaysia,10
PRJNA977472,Fermented beverage,Norway,5
PRJNA977472,Fermented beverage,Philippines,5
PRJNA977472,Fermented beverage,Singapore,15
PRJNA977472,Fermented beverage,South Africa,5
PRJNA977472,Fermented beverage,Spain,10
PRJNA977472,Fermented beverage,United Kingdom of Great Britain and Northern Ireland,47
PRJNA977472,Fermented beverage,United States of America,30
PRJNA1110829,Alcoholic beverage,China,9
PRJEB53217,Alcoholic beverage,Russian Federation,14
PRJEB53217,Beer,Russian Federation,9
PRJNA1051357,Fermented meat,Portugal,1
PRJNA1051357,Fermented meat,Greece,2
PRJNA1051357,Fermented meat,Italy,9
PRJNA1051357,Fermented meat,Morocco,1
PRJNA1013682,Yogurt,China,22
PRJNA764004,Cheese,Spain,78
PRJNA943417,Fermented legumes,Denmark,6
PRJNA1103415,Fermented legumes,Republic of Korea,6
PRJNA992639,Fermented legumes,Japan,6
PRJNA992639,Fermented legumes,Denmark,32
PRJNA286900,Cheese,Mexico,1
PRJNA1110829,Alcoholic beverage,China,9
PRJNA816670,Fermented vegetables,Saudi Arabia,18
PRJNA914731,Dairy product,India,2
PRJNA914873,Fermented legumes,India,4
PRJNA627182,Fermented fruits,Mexico,20
PRJNA552479,Fermented fruits,Brazil,14
PRJNA914730,Fermented cereal,India,2
PRJNA704713,Dairy product,Mexico,2
PRJNA778418,Cheese,United States of America,18
PRJNA1084214,Cheese,Italy,49
PRJNA648868,Fermented cereal,Mexico,4
PRJEB64331,Cheese,Belgium,19
PRJNA1206071,Cheese,Italy,188
PRJNA1206071,Fermented meat,Italy,8
